Department,Complaint_Text
Electrical,Street lights in our area are not glowing since yesterday night
Electrical,The street light near my house stopped working suddenly
Electrical,Several street lights on the main road are not functioning
Electrical,Public street lights are not working causing safety concerns
Electrical,Street lights in our colony are completely switched off
Electrical,No street lighting available on this road after sunset
Electrical,Street lights stopped working after recent rainfall
Electrical,Street lights in our neighborhood are not glowing properly
Electrical,The street light pole near the park is not working
Electrical,Street lights have been nonfunctional for the past three days
Electrical,Request installation of a new street light in our lane
Electrical,Our street has no street light and it is very dark at night
Electrical,New street light is required near the bus stop
Electrical,Please install a street light on this unsafe road
Electrical,There is no street lighting facility in our area
Electrical,Residents are requesting a new street light installation
Electrical,Our colony needs additional street lights for safety
Electrical,No street light available near the school road
Electrical,Please provide a new street light near the junction
Electrical,A new street light is required near the market area
Electrical,Street lights are glowing continuously during daytime hours
Electrical,The street lights are not switching off in the morning
Electrical,Street lights remain on throughout the day unnecessarily
Electrical,Continuous glowing of street lights causing power wastage
Electrical,Street lights are on even during bright daylight
Electrical,Public lights are not turning off after sunrise
Electrical,Street lighting system is malfunctioning and stays on all day
Electrical,Street lights glow for 24 hours without stopping
Electrical,Street lights are not shutting down automatically
Electrical,Daytime street light operation needs immediate attention
Electrical,Street light timer is not working properly in our area
Electrical,Timer settings of street lights need correction
Electrical,Automatic timer for street lights is malfunctioning
Electrical,Street lights are turning on at incorrect times
Electrical,Timer-controlled street lights are not functioning correctly
Electrical,Street lights switch on too early due to timer issues
Electrical,Timer malfunction is affecting street light operation
Electrical,Street light timer requires immediate repair
Electrical,Timer-based lighting system is faulty
Electrical,Street lights operate irregularly due to timer failure
Electrical,Street lights flicker frequently and do not stay on
Electrical,Street lights are blinking continuously at night
Electrical,Unstable street lighting observed in our street
Electrical,Street lights keep turning on and off repeatedly
Electrical,Fluctuating street lights creating inconvenience
Electrical,Street light near our home keeps flickering
Electrical,Street lights are unstable and not providing proper lighting
Electrical,Repeated flickering of street lights reported
Electrical,Street lights are not providing consistent illumination
Electrical,Lighting fluctuations observed in street lamps
Electrical,Street light pole is damaged and not working
Electrical,Street light bulb is fused and needs replacement
Electrical,Street light fixture is broken and unsafe
Electrical,Street light pole is leaning and light is not working
Electrical,Damaged street light causing darkness at night
Electrical,Street light cover is broken and bulb is exposed
Electrical,Street light infrastructure is damaged after storm
Electrical,Street light pole has electrical fault
Electrical,Street light needs urgent maintenance and repair
Electrical,Faulty street light posing safety risk
Electrical,Street lighting is insufficient on this road
Electrical,Dim street lights making the road unsafe at night
Electrical,Street lights are too weak to illuminate the road
Electrical,Low brightness street lights causing visibility issues
Electrical,Street lighting is inadequate in our area
Electrical,Poor street lighting affecting night travel
Electrical,Street lights are installed but provide very low light
Electrical,Insufficient lighting near residential area
Electrical,Street lights are not bright enough
Electrical,Weak street lights causing inconvenience to residents
Electrical,Street lights stopped working after power fluctuation
Electrical,Electrical fault affecting multiple street lights
Electrical,Street lights not working due to wiring issue
Electrical,Power supply problem affecting street lighting
Electrical,Street lighting system failure reported
Electrical,Electrical issue causing street lights to shut down
Electrical,Street lights disconnected from power source
Electrical,Street lights affected by electrical malfunction
Electrical,Electrical fault in street lighting circuit
Electrical,Street lighting not restored after power cut
Food Safety,Food served in the hostel is unhygienic and causing health issues
Food Safety,The quality of food in the hostel mess is very poor
Food Safety,Unhygienic food preparation observed in the college hostel
Food Safety,Students are falling sick due to bad food quality
Food Safety,Hostel food is not prepared in a clean environment
Food Safety,Mess food hygiene standards are not being followed
Food Safety,Food served in hostel contains insects and dirt
Food Safety,Unclean kitchen conditions observed in hostel mess
Food Safety,Hostel food smells bad and is unsafe to eat
Food Safety,Food hygiene in hostel is extremely poor
Food Safety,Expired food items are being sold in a local grocery shop
Food Safety,Shopkeeper is selling food products past their expiry date
Food Safety,Expired packaged food is available in the supermarket
Food Safety,Food items beyond expiry date are sold openly
Food Safety,Local store is selling expired snacks and beverages
Food Safety,Expired food products found in neighborhood shop
Food Safety,Shop is selling outdated and unsafe food items
Food Safety,Expired food articles displayed for sale
Food Safety,Consumers are being sold expired food products
Food Safety,Expired food stock not removed from shelves
Food Safety,Contaminated food is being sold at a roadside stall
Food Safety,Food sold by vendor appears contaminated and unsafe
Food Safety,Contaminated cooked food causing stomach infections
Food Safety,Food items exposed to dust and pollution are being sold
Food Safety,Open food is attracting flies and contamination
Food Safety,Food contamination observed in street food stall
Food Safety,Unsafe food handling leading to contamination
Food Safety,Food sold without proper covering and hygiene
Food Safety,Contaminated food causing illness among residents
Food Safety,Food safety standards violated by street vendors
Food Safety,Hotel kitchen is unhygienic and poorly maintained
Food Safety,Restaurant food preparation area is very dirty
Food Safety,Unclean utensils used in food preparation
Food Safety,Hotel staff not following food hygiene practices
Food Safety,Restaurant serving food from unhygienic kitchen
Food Safety,Food safety rules not followed in local hotel
Food Safety,Dirty cooking area observed in restaurant
Food Safety,Unhygienic food handling in roadside hotel
Food Safety,Kitchen hygiene standards are violated
Food Safety,Food prepared in unsanitary conditions
Food Safety,Street food vendors are not maintaining cleanliness
Food Safety,Food vendors selling items without basic hygiene
Food Safety,Street food stalls lack proper sanitation
Food Safety,Vendors handling food with unclean hands
Food Safety,Open street food exposed to flies and dust
Food Safety,Food sold on streets without safety precautions
Food Safety,Street food prepared in unhygienic surroundings
Food Safety,Vendors not using gloves or clean utensils
Food Safety,Unsafe street food practices observed
Food Safety,Food safety violations by street vendors
Food Safety,Milk supplied in our area smells bad and is spoiled
Food Safety,Contaminated milk is being sold by local vendor
Food Safety,Milk quality is poor and unsafe for consumption
Food Safety,Adulterated milk sold in neighborhood
Food Safety,Milk has unusual color and odor
Food Safety,Unsafe milk distribution reported
Food Safety,Milk being sold without proper storage
Food Safety,Milk contamination causing health problems
Food Safety,Low quality milk supplied to residents
Food Safety,Milk hygiene standards not followed
Food Safety,Food poisoning cases reported after eating from hotel
Food Safety,Several people fell sick after consuming restaurant food
Food Safety,Foodborne illness reported from local eatery
Food Safety,Improper food storage causing food poisoning
Food Safety,Food poisoning incident linked to street food
Food Safety,Unsafe food consumption causing vomiting
Food Safety,Food-related illness affecting residents
Food Safety,Food poisoning suspected from contaminated food
Food Safety,Multiple cases of food sickness reported
Food Safety,Food safety negligence causing illness
Food Safety,Bakery selling stale and unsafe food items
Food Safety,Stale food products sold in bakery shop
Food Safety,Bakery items not fresh and unhygienic
Food Safety,Old food items displayed for sale in bakery
Food Safety,Bakery selling food without proper storage
Food Safety,Unhygienic bakery practices observed
Food Safety,Food quality in bakery is unacceptable
Food Safety,Bakery kitchen is dirty and unsafe
Food Safety,Stale cakes and snacks sold to customers
Food Safety,Bakery violating food safety norms
Food Safety,Food packets stored improperly in warehouse
Food Safety,Improper food storage leading to spoilage
Food Safety,Food items stored in dirty conditions
Food Safety,Unsafe storage of edible products observed
Food Safety,Food materials exposed to rodents and pests
Food Safety,Food storage area is unhygienic
Food Safety,Improper refrigeration of food items
Food Safety,Food safety norms ignored in storage
Food Safety,Stored food items contaminated by pests
Food Safety,Food warehouse lacks cleanliness
Food Safety,School canteen food is unhygienic and unsafe
Food Safety,Children falling sick due to canteen food
Food Safety,School canteen not following food safety rules
Food Safety,Unclean food preparation in school canteen
Food Safety,Canteen food quality is very poor
Food Safety,Unsafe food served to students in school
Food Safety,School food hygiene standards violated
Food Safety,Canteen kitchen is unhygienic
Food Safety,Food safety negligence in school canteen
Food Safety,Unhealthy food served in educational institution
Veterinary,The street dogs are creating problems in our colony
Veterinary,The street dogs are roaming freely on our street
Veterinary,The street dogs are barking loudly at night
Veterinary,The street dogs are chasing people on the road
Veterinary,The street dogs are causing fear among residents
Veterinary,The street dogs are troubling children in the area
Veterinary,The street dogs are blocking the road at night
Veterinary,The street dogs are increasing in number
Veterinary,The street dogs are creating safety issues
Veterinary,The street dogs are causing daily nuisance
Veterinary,A person was bitten by the street dogs near our house
Veterinary,A child was bitten by the street dogs near school
Veterinary,The street dogs attacked a pedestrian on the road
Veterinary,Dog bite incident caused by the street dogs
Veterinary,The street dogs bit a resident in our area
Veterinary,The street dogs attacked people during night hours
Veterinary,The street dogs bit someone near the market
Veterinary,The street dogs attacked a passerby
Veterinary,Multiple dog bite cases caused by the street dogs
Veterinary,The street dogs are becoming aggressive
Veterinary,A dead dog is lying on the roadside
Veterinary,Dead animal lying on the road needs removal
Veterinary,Dead cow found on the street causing bad smell
Veterinary,Dead animal is not lifted from our area
Veterinary,Dead dog lying near houses for two days
Veterinary,Dead animal causing health problems
Veterinary,Please remove the dead animal from the street
Veterinary,Dead animal found near drainage
Veterinary,Dead animal is blocking the road
Veterinary,Dead animal disposal is delayed
Veterinary,Street cattle are roaming freely on the road
Veterinary,Cows are sitting on busy roads
Veterinary,Street cattle are causing traffic problems
Veterinary,Cows roaming on main road are dangerous
Veterinary,Street cattle are blocking vehicles
Veterinary,Cows moving freely in residential areas
Veterinary,Street cattle causing accidents
Veterinary,Cows are resting on the road
Veterinary,Street cattle menace is increasing
Veterinary,Cattle movement causing inconvenience
Veterinary,Pigs are roaming near residential houses
Veterinary,Street pigs are spreading garbage
Veterinary,Pigs are creating unhygienic conditions
Veterinary,Pig menace reported in our area
Veterinary,Pigs roaming near garbage dump
Veterinary,Street pigs causing health issues
Veterinary,Pigs damaging public places
Veterinary,Pig problem increasing in locality
Veterinary,Pigs creating nuisance near homes
Veterinary,Street pigs roaming freely
Veterinary,Monkeys are creating problems in our area
Veterinary,Monkeys entering houses and damaging items
Veterinary,Monkey menace reported near apartments
Veterinary,Monkeys are troubling residents
Veterinary,Monkeys are snatching food from people
Veterinary,Monkey attacks reported in our colony
Veterinary,Monkeys jumping on roofs
Veterinary,Monkey problem increasing daily
Veterinary,Monkeys causing fear among residents
Veterinary,Monkey nuisance needs control
Veterinary,An injured dog needs immediate help
Veterinary,An injured animal is lying on the road
Veterinary,The street dog is injured and needs treatment
Veterinary,Animal rescue needed for injured dog
Veterinary,Injured cow lying near roadside
Veterinary,Animal rescue required urgently
Veterinary,Injured animal needs medical care
Veterinary,Dog injured in accident needs rescue
Veterinary,Animal stuck in drain needs rescue
Veterinary,Injured street dog needs help
Veterinary,Illegal slaughter of animals reported
Veterinary,Animals are being slaughtered illegally
Veterinary,Illegal animal slaughter in residential area
Veterinary,Unauthorized slaughter activity observed
Veterinary,Illegal slaughter causing public nuisance
Veterinary,Animals killed illegally in locality
Veterinary,Illegal slaughter needs immediate action
Veterinary,Animal slaughter violating rules
Veterinary,Illegal slaughterhouse operating
Veterinary,Unlawful animal slaughter reported
Veterinary,Illegal pet shop operating in our area
Veterinary,Unauthorized dog breeding center reported
Veterinary,Pet shop running without permission
Veterinary,Illegal sale of pets observed
Veterinary,Dog breeding done illegally
Veterinary,Pet shop violating animal rules
Veterinary,Unauthorized pet selling reported
Veterinary,Illegal animal trade in locality
Veterinary,Pet shop without license
Veterinary,Illegal pet business reported
Veterinary,Unhygienic meat sold in local shop
Veterinary,Contaminated meat being sold openly
Veterinary,Meat shop not maintaining cleanliness
Veterinary,Unsafe meat sold in market
Veterinary,Meat shop hygiene is very poor
Veterinary,Unclean meat handling observed
Veterinary,Illegal meat selling reported
Veterinary,Meat shop causing health concerns
Veterinary,Unhygienic meat affecting residents
Veterinary,Meat shop violating rules
Veterinary,The street dogs are not sterilized
Veterinary,Unsterilized street dogs increasing in number
Veterinary,Street dog sterilization needed urgently
Veterinary,The street dogs need sterilization drive
Veterinary,Lack of sterilization causing dog population rise
Veterinary,Street dogs breeding without control
Veterinary,Sterilization not done for street dogs
Veterinary,Street dog population increasing rapidly
Veterinary,Unsterilized street dogs creating nuisance
Veterinary,Street dog sterilization program required
Sanitation,Garbage is not being collected regularly in our street
Sanitation,Garbage has been lying on the road for many days
Sanitation,Garbage dump created near residential houses
Sanitation,Open garbage on street causing bad smell
Sanitation,Garbage pile is not cleared by sanitation workers
Sanitation,Garbage is overflowing on the roadside
Sanitation,Garbage dumping near houses causing health issues
Sanitation,Large garbage heap blocking the road
Sanitation,Garbage nuisance troubling residents
Sanitation,Uncleared garbage attracting animals
Sanitation,Dustbin in our area is not cleared regularly
Sanitation,Public dustbin is overflowing with waste
Sanitation,Dustbin is broken and garbage is spreading
Sanitation,Dustbin not cleaned for several days
Sanitation,Overflowing dustbin causing foul smell
Sanitation,Dustbin waste scattered on road
Sanitation,Public dustbin needs immediate cleaning
Sanitation,Dustbin near shop is not maintained
Sanitation,Dustbin garbage causing inconvenience
Sanitation,Uncleared dustbin creating hygiene problems
Sanitation,Garbage collection vehicle is not coming to our area
Sanitation,Garbage vehicle did not arrive today
Sanitation,Waste collection van is irregular
Sanitation,Garbage truck skipping our street frequently
Sanitation,No garbage vehicle service for past few days
Sanitation,Garbage van timing is not followed
Sanitation,Garbage vehicle not attending our locality
Sanitation,Waste collection service is poor
Sanitation,Garbage truck not visiting our area
Sanitation,Irregular garbage vehicle service reported
Sanitation,Street sweeping is not done regularly
Sanitation,Sanitation workers not sweeping the road
Sanitation,Street is very dirty due to no sweeping
Sanitation,Road cleaning is neglected in our area
Sanitation,Street sweeping not done for many days
Sanitation,Dust and waste not cleaned from road
Sanitation,Poor street cleaning in our locality
Sanitation,Road remains dirty throughout the day
Sanitation,Sweeping staff not attending street
Sanitation,Unclean streets causing inconvenience
Sanitation,Garbage is being burned on the roadside
Sanitation,People are burning garbage causing air pollution
Sanitation,Garbage burning creating smoke and breathing problems
Sanitation,Open burning of waste observed in area
Sanitation,Garbage fire causing health issues
Sanitation,Garbage burning reported near houses
Sanitation,Burning waste creating bad smell
Sanitation,Illegal garbage burning in locality
Sanitation,Garbage burning needs immediate action
Sanitation,Smoke from burning garbage troubling residents
Sanitation,Public toilet is blocked and unusable
Sanitation,Public toilet is very dirty and unhygienic
Sanitation,Public toilet cleaning is not done
Sanitation,Toilet blockage causing foul smell
Sanitation,Public toilet needs immediate cleaning
Sanitation,Toilet is overflowing and dirty
Sanitation,Public toilet is not maintained properly
Sanitation,Unclean public toilet causing health issues
Sanitation,Toilet facility is unusable due to blockage
Sanitation,Public toilet condition is very poor
Sanitation,No water supply in public toilet
Sanitation,Public toilet has no electricity
Sanitation,Toilet lights are not working
Sanitation,Public toilet lacks basic facilities
Sanitation,No water available in toilet for use
Sanitation,Public toilet without power supply
Sanitation,Toilet is dark due to no electricity
Sanitation,Water issue in public toilet
Sanitation,Public toilet utilities not working
Sanitation,Toilet services not functional
Sanitation,People are urinating in public places
Sanitation,Open urination happening near shops
Sanitation,Public urination causing bad smell
Sanitation,People urinating openly on roadside
Sanitation,Open defecation observed in area
Sanitation,Public urination near residential area
Sanitation,Open defecation creating unhygienic conditions
Sanitation,People using open areas as toilets
Sanitation,Public urination needs control
Sanitation,Open defecation problem increasing
Sanitation,Debris dumped illegally on roadside
Sanitation,Construction waste dumped on road
Sanitation,Unauthorized debris dumping reported
Sanitation,Debris blocking the street
Sanitation,Construction waste causing inconvenience
Sanitation,Debris dumped near houses
Sanitation,Illegal dumping of debris observed
Sanitation,Construction waste not removed
Sanitation,Debris causing traffic problems
Sanitation,Debris dumping needs action
Sanitation,Waste dumped into nala causing blockage
Sanitation,Garbage dumped in drainage
Sanitation,Nala blocked due to waste dumping
Sanitation,Plastic waste dumped in nala
Sanitation,Garbage clogging drainage system
Sanitation,Waste dumping causing water stagnation
Sanitation,Nala pollution due to garbage
Sanitation,Improper waste disposal in nala
Sanitation,Drain blocked by garbage
Sanitation,Garbage dumping into nala reported
Sanitation,Bulk garbage dumped on main road
Sanitation,Large waste dump created overnight
Sanitation,Bulk garbage blocking traffic
Sanitation,Huge garbage pile near market
Sanitation,Bulk waste not cleared
Sanitation,Large scale garbage dumping observed
Sanitation,Bulk garbage creating public nuisance
Sanitation,Heavy garbage dump near houses
Sanitation,Bulk waste causing hygiene issues
Sanitation,Large garbage heap needs removal
Town Planning,Footpath is blocked due to illegal construction
Town Planning,Footpath encroached by shopkeepers causing inconvenience
Town Planning,People are forced to walk on road due to blocked footpath
Town Planning,Footpath is occupied by vendors
Town Planning,Footpath near market is fully blocked
Town Planning,Encroachment on footpath creating traffic issues
Town Planning,Footpath is not usable due to encroachment
Town Planning,Footpath blocked by temporary structures
Town Planning,Illegal occupation of footpath reported
Town Planning,Footpath blocked by roadside shops
Town Planning,Road is encroached by unauthorized construction
Town Planning,Encroachment on road causing traffic congestion
Town Planning,Illegal structures built on public road
Town Planning,Road width reduced due to encroachment
Town Planning,Encroachment on main road causing accidents
Town Planning,Roadside encroachment blocking vehicle movement
Town Planning,Unauthorized shops constructed on road
Town Planning,Encroachment on public road reported
Town Planning,Road obstruction due to illegal buildings
Town Planning,Road encroachment creating daily traffic problems
Town Planning,Unauthorized construction taking place in residential area
Town Planning,Illegal building construction without permission
Town Planning,Construction work started without approval
Town Planning,Unauthorized floors added to building
Town Planning,Illegal construction causing safety concerns
Town Planning,Building constructed without proper permission
Town Planning,Unauthorized building work observed
Town Planning,Illegal construction violating town planning rules
Town Planning,Construction without sanctioned plan reported
Town Planning,Unauthorized building activity in locality
Town Planning,Encroachment of nala causing water blockage
Town Planning,Nala encroached by nearby construction
Town Planning,Illegal construction over drainage
Town Planning,Nala blockage due to encroachment
Town Planning,Encroachment on drainage channel reported
Town Planning,Nala covered illegally by construction
Town Planning,Drainage encroached causing flooding risk
Town Planning,Illegal structure built over nala
Town Planning,Nala obstruction due to encroachment
Town Planning,Encroachment of public drainage observed
Town Planning,Old building in dangerous condition
Town Planning,Dilapidated building posing risk to public
Town Planning,Unsafe old structure may collapse
Town Planning,Abandoned building in very poor condition
Town Planning,Dilapidated building needs inspection
Town Planning,Old building cracks causing fear
Town Planning,Dangerous building condition reported
Town Planning,Weak building structure needs action
Town Planning,Old wall in unsafe condition
Town Planning,Building collapse risk reported
Town Planning,Wall collapse occurred near residential area
Town Planning,Partial building collapse reported
Town Planning,Compound wall collapsed on road
Town Planning,Building wall collapse causing obstruction
Town Planning,Structure collapse creating safety hazard
Town Planning,Wall collapse incident needs inspection
Town Planning,Collapsed wall blocking footpath
Town Planning,Building collapse reported after rains
Town Planning,Wall collapse causing public danger
Town Planning,Collapsed structure needs clearance
Town Planning,Public park encroached by illegal construction
Town Planning,Playground encroachment reported
Town Planning,Encroachment on community land
Town Planning,Public land occupied illegally
Town Planning,Park area reduced due to encroachment
Town Planning,Illegal construction on playground
Town Planning,Encroachment on burial ground reported
Town Planning,Community hall land encroached
Town Planning,Public property occupied illegally
Town Planning,Encroachment on open public land
Town Planning,Neighbor encroached on my property
Town Planning,Property boundary encroachment by neighbor
Town Planning,Neighbor built wall on my land
Town Planning,Illegal extension into my property
Town Planning,Property dispute due to encroachment
Town Planning,Neighbor construction crossing boundary
Town Planning,Encroachment by adjacent property owner
Town Planning,Boundary violation by neighbor
Town Planning,Property encroachment issue reported
Town Planning,Neighbor occupying part of my land
Town Planning,Cell tower installed in residential area
Town Planning,Mobile tower causing health concerns
Town Planning,Unauthorized cell tower near houses
Town Planning,Cell tower installed without permission
Town Planning,Residents opposing cell tower installation
Town Planning,Mobile tower erected in housing colony
Town Planning,Cell tower construction causing nuisance
Town Planning,Cell tower setup in residential locality
Town Planning,Unauthorized mobile tower reported
Town Planning,Cell tower installation needs verification
Town Planning,Illegal hoardings installed on roadside
Town Planning,Unauthorized advertising boards causing danger
Town Planning,Unsafe hoardings installed near road
Town Planning,Hoardings blocking visibility on road
Town Planning,Illegal banners placed on public land
Town Planning,Unauthorized hoardings need removal
Town Planning,Hoardings installed without approval
Town Planning,Roadside hoardings creating traffic risk
Town Planning,Unsafe advertisement boards reported
Town Planning,Illegal hoarding structures observed
Town Planning,Status of building permission application not updated
Town Planning,Delay in approval of building application
Town Planning,Building plan approval status pending
Town Planning,No update on building permission request
Town Planning,Delay in LRS or BRS application status
Town Planning,Application for building approval pending
Town Planning,Building permission process delayed
Town Planning,No response on construction approval
Town Planning,Building application status not clear
Town Planning,Approval delay causing construction issues
Engineering,Large potholes on the road causing accidents
Engineering,Road is damaged and needs immediate repair
Engineering,Potholes filled with water making driving difficult
Engineering,Main road surface is broken in many places
Engineering,Deep potholes creating traffic problems
Engineering,Road condition is very poor in our area
Engineering,Road damage causing vehicle breakdowns
Engineering,Uneven road surface causing inconvenience
Engineering,Potholes on road after recent rains
Engineering,Road needs urgent resurfacing
Engineering,Footpath is damaged and unsafe for walking
Engineering,Broken footpath tiles causing injuries
Engineering,Footpath repair needed near bus stop
Engineering,Uneven footpath creating walking problems
Engineering,Footpath is cracked and dangerous
Engineering,Footpath repair work not completed
Engineering,Footpath condition very poor
Engineering,Footpath damaged due to digging
Engineering,Footpath needs maintenance urgently
Engineering,Broken footpath affecting pedestrians
Engineering,Illegal road cutting done without repair
Engineering,Road cutting work left incomplete
Engineering,Unauthorized digging on road reported
Engineering,Road cut not restored after work
Engineering,Open road cutting causing accidents
Engineering,Road cutting creating traffic problems
Engineering,Improper road restoration after digging
Engineering,Illegal trench on road needs filling
Engineering,Road cutting without safety measures
Engineering,Open road cut left unattended
Engineering,Drain is damaged and leaking sewage
Engineering,Nala repair required in our locality
Engineering,Drain wall collapsed near houses
Engineering,Damaged drain causing foul smell
Engineering,Nala structure broken and unsafe
Engineering,Drain repair work pending for long time
Engineering,Nala damage causing inconvenience
Engineering,Open drain creating safety issues
Engineering,Drain needs immediate repair
Engineering,Broken drain affecting residents
Engineering,Water logging on road after rainfall
Engineering,Water stagnation due to poor drainage
Engineering,Road flooded after small rain
Engineering,Water logging causing traffic jams
Engineering,Stagnant water near houses
Engineering,Water logging creating mosquito problem
Engineering,Flooded road making travel difficult
Engineering,Poor drainage causing water accumulation
Engineering,Water logging not cleared for days
Engineering,Standing water on main road
Engineering,Drain desilting not done before monsoon
Engineering,Blocked drain needs cleaning
Engineering,Nala desilting work not completed
Engineering,Drain full of silt and waste
Engineering,Desilting required to avoid flooding
Engineering,Drain cleaning not done regularly
Engineering,Nala blocked due to silt
Engineering,Desilting of drain needed urgently
Engineering,Drain choked causing overflow
Engineering,Drain cleaning delayed
Engineering,Drain overflowing onto road
Engineering,Sewage overflowing from nala
Engineering,Overflowing drain causing bad smell
Engineering,Drain overflow entering houses
Engineering,Nala overflow during rains
Engineering,Overflowing sewage causing health issues
Engineering,Drain water spreading on street
Engineering,Overflowing drain creating unhygienic conditions
Engineering,Nala overflow needs immediate attention
Engineering,Drain overflow affecting traffic
Engineering,Open drain without fencing is dangerous
Engineering,Drain needs proper fencing
Engineering,Open nala creating safety risk
Engineering,No fencing around deep drain
Engineering,Drain fencing required near school
Engineering,Unprotected drain posing accident risk
Engineering,Open drain near houses needs fencing
Engineering,Drain without cover causing danger
Engineering,Fencing needed for roadside drain
Engineering,Open nala needs safety measures
Engineering,Burial ground needs improvement and cleaning
Engineering,Burial ground pathway is damaged
Engineering,Burial ground infrastructure is poor
Engineering,Burial ground maintenance not done
Engineering,Burial ground needs repair work
Engineering,Burial ground wall damaged
Engineering,Burial ground facilities are inadequate
Engineering,Burial ground drainage issue reported
Engineering,Burial ground access road is broken
Engineering,Burial ground improvement required
Engineering,Public works bill payment is pending
Engineering,Contractor payment delayed for road work
Engineering,Bill clearance pending for engineering work
Engineering,Delay in payment for completed work
Engineering,Pending bills affecting public works
Engineering,Engineering project payment not released
Engineering,Bill settlement pending for repair work
Engineering,Payment delay causing work stoppage
Engineering,Outstanding bills for infrastructure work
Engineering,Pending engineering bills need clearance
Disaster & Emergency,Fire broke out in a residential building
Disaster & Emergency,Fire accident reported in nearby house
Disaster & Emergency,Fire incident occurred in commercial shop
Disaster & Emergency,Fire broke out due to unknown reasons
Disaster & Emergency,Fire accident causing panic in locality
Disaster & Emergency,Fire reported in apartment complex
Disaster & Emergency,Fire incident needs immediate attention
Disaster & Emergency,Fire broke out during night hours
Disaster & Emergency,Fire accident reported near market
Disaster & Emergency,Fire incident spreading rapidly
Disaster & Emergency,Electrical short circuit caused fire
Disaster & Emergency,Fire due to electrical wiring issue
Disaster & Emergency,Short circuit fire reported in house
Disaster & Emergency,Electrical fire causing damage
Disaster & Emergency,Fire caused by faulty electrical lines
Disaster & Emergency,Short circuit led to fire accident
Disaster & Emergency,Electrical fire hazard reported
Disaster & Emergency,Fire due to loose wiring
Disaster & Emergency,Electrical short circuit incident
Disaster & Emergency,Fire caused by power line fault
Disaster & Emergency,Gas cylinder fire reported in kitchen
Disaster & Emergency,Gas leakage caused fire accident
Disaster & Emergency,Cooking gas fire incident reported
Disaster & Emergency,Gas cylinder explosion reported
Disaster & Emergency,Gas fire causing damage to house
Disaster & Emergency,Gas leakage fire needs emergency help
Disaster & Emergency,LPG cylinder fire incident
Disaster & Emergency,Fire caused by gas stove leakage
Disaster & Emergency,Gas cylinder burst reported
Disaster & Emergency,Kitchen gas fire emergency
Disaster & Emergency,Fire safety equipment not available in building
Disaster & Emergency,Fire extinguishers not working
Disaster & Emergency,No fire safety measures in apartment
Disaster & Emergency,Fire exits blocked in building
Disaster & Emergency,Fire safety norms not followed
Disaster & Emergency,Emergency fire exits locked
Disaster & Emergency,Fire alarm system not functioning
Disaster & Emergency,Lack of fire safety arrangements
Disaster & Emergency,Fire safety inspection required
Disaster & Emergency,Fire safety violations reported
Disaster & Emergency,Delay in fire service response
Disaster & Emergency,Fire brigade arrived late
Disaster & Emergency,Emergency response time too slow
Disaster & Emergency,Fire service delay caused damage
Disaster & Emergency,Delayed emergency rescue service
Disaster & Emergency,Fire truck reached late at incident
Disaster & Emergency,Poor response from fire department
Disaster & Emergency,Emergency call response delayed
Disaster & Emergency,Fire service not responding quickly
Disaster & Emergency,Delay in emergency assistance
Disaster & Emergency,Building collapse reported
Disaster & Emergency,Partial building collapse occurred
Disaster & Emergency,Old building collapsed after rains
Disaster & Emergency,Wall collapse causing injuries
Disaster & Emergency,Structure collapse emergency reported
Disaster & Emergency,Building collapse needs rescue
Disaster & Emergency,Collapsed structure trapping people
Disaster & Emergency,Emergency rescue needed for collapse
Disaster & Emergency,Building collapse creating danger
Disaster & Emergency,Wall collapse reported urgently
Disaster & Emergency,Tree fell on road due to storm
Disaster & Emergency,Fallen tree blocking traffic
Disaster & Emergency,Tree fall damaged electric lines
Disaster & Emergency,Tree collapse during heavy winds
Disaster & Emergency,Fallen tree blocking entrance
Disaster & Emergency,Tree fall causing road blockage
Disaster & Emergency,Emergency removal of fallen tree needed
Disaster & Emergency,Tree collapse causing danger
Disaster & Emergency,Fallen tree needs immediate clearance
Disaster & Emergency,Storm damaged trees reported
Disaster & Emergency,Flood rescue required in low lying area
Disaster & Emergency,People trapped due to flooding
Disaster & Emergency,Emergency rescue needed due to floods
Disaster & Emergency,Flood water entered houses
Disaster & Emergency,Rescue services needed during floods
Disaster & Emergency,Emergency help required due to heavy rains
Disaster & Emergency,Flooding causing emergency situation
Disaster & Emergency,People stranded due to waterlogging
Disaster & Emergency,Flood rescue response delayed
Disaster & Emergency,Emergency flood assistance required
Disaster & Emergency,Fire NOC application pending
Disaster & Emergency,Delay in fire safety clearance
Disaster & Emergency,Fire NOC not issued yet
Disaster & Emergency,Fire clearance application delayed
Disaster & Emergency,No update on fire safety approval
Disaster & Emergency,Fire department NOC pending
Disaster & Emergency,Delay in fire permission approval
Disaster & Emergency,Fire safety clearance not received
Disaster & Emergency,Fire NOC process delayed
Disaster & Emergency,Fire safety approval pending
